Node=鄉	9	61
聲	纓	0.1	Lu1983.399.1
聲	貞	1.0	Lu1983.522.1
聲	零	0.1111111111111111	Lu1983.535.9
聲	丁	0.1111111111111111	Lu1983.535.9
聲	營	0.1111111111111111	Lu1983.535.9
Node=生	17	111
生	聲	1.0	Lu1983.004.1
生	聲	0.14285714285714285	Lu1983.169.2
生	聲	0.1	Lu1983.399.1
生	聲	0.1111111111111111	Lu1983.535.9
生	韋	0.045454545454545456	Lu1983.027.1
生	旗	0.045454545454545456	Lu1983.027.1
生	荒	0.045454545454545456	Lu1983.027.1
生	商	0.045454545454545456	Lu1983.027.1
生	光	0.045454545454545456	Lu1983.027.1
生	同	0.045454545454545456	Lu1983.027.1
生	邦	0.045454545454545456	Lu1983.027.1
生	逸	0.045454545454545456	Lu1983.027.1
生	室	0.045454545454545456	Lu1983.027.1
生	衛	0.045454545454545456	Lu1983.027.1
生	隊	0.045454545454545456	Lu1983.027.1
生	城	0.045454545454545456	Lu1983.027.1
生	城	0.14285714285714285	Lu1983.169.2
生	城	0.1	Lu1983.399.1
生	耕	0.045454545454545456	Lu1983.027.1
生	寧	0.045454545454545456	Lu1983.027.1
生	京	0.045454545454545456	Lu1983.027.1
生	征	0.045454545454545456	Lu1983.027.1
生	平	0.045454545454545456	Lu1983.027.1
生	平	0.09090909090909091	Lu1983.126.1
生	平	0.3333333333333333	Lu1983.228.3
生	楚	0.045454545454545456	Lu1983.027.1
生	輔	0.045454545454545456	Lu1983.027.1
生	壹	0.045454545454545456	Lu1983.027.1
生	弼	0.045454545454545456	Lu1983.027.1
生	後	0.045454545454545456	Lu1983.027.1
生	列	0.09090909090909091	Lu1983.126.1
生	察	0.09090909090909091	Lu1983.126.1
生	紀	0.09090909090909091	Lu1983.126.1
生	始	0.09090909090909091	Lu1983.126.1
生	昭	0.09090909090909091	Lu1983.126.1
生	姚	0.09090909090909091	Lu1983.126.1
生	牲	0.09090909090909091	Lu1983.126.1
生	酲	0.09090909090909091	Lu1983.126.1
生	並	0.09090909090909091	Lu1983.126.1
生	並	0.5	Lu1983.488.1
生	榮	0.09090909090909091	Lu1983.126.1
生	刑	0.14285714285714285	Lu1983.169.2
生	煢	0.14285714285714285	Lu1983.169.2
生	鳴	0.14285714285714285	Lu1983.169.2
生	鳴	0.5	Lu1983.337.1
生	鳴	0.1111111111111111	Lu1983.535.9
生	情	0.14285714285714285	Lu1983.169.2
生	情	0.3333333333333333	Lu1983.228.3
生	情	0.1111111111111111	Lu1983.535.9
生	縈	0.14285714285714285	Lu1983.169.2
生	齡	0.5	Lu1983.196.1
生	名	0.5	Lu1983.196.1
生	營	0.3333333333333333	Lu1983.228.3
生	營	0.1111111111111111	Lu1983.535.9
生	伐	0.25	Lu1983.243.1
生	遏	0.25	Lu1983.243.1
生	腹	0.25	Lu1983.243.1
生	君	0.25	Lu1983.243.1
生	青	1.0	Lu1983.280.1
生	亡	1.0	Lu1983.306.1
生	輕	0.5	Lu1983.337.1
生	長	0.1	Lu1983.399.1
生	幢	0.1	Lu1983.399.1
生	箱	0.1	Lu1983.399.1
生	強	0.1	Lu1983.399.1
生	星	0.1	Lu1983.399.1
生	星	0.1111111111111111	Lu1983.535.9
生	傾	0.1	Lu1983.399.1
生	纓	0.1	Lu1983.399.1
生	時	0.041666666666666664	Lu1983.413.1
生	時	0.08333333333333333	Lu1983.528.1
生	馬	0.041666666666666664	Lu1983.413.1
生	賈	0.041666666666666664	Lu1983.413.1
生	魯	0.041666666666666664	Lu1983.413.1
生	苦	0.041666666666666664	Lu1983.413.1
生	塵	0.041666666666666664	Lu1983.413.1
生	堂	0.041666666666666664	Lu1983.413.1
生	汲	0.041666666666666664	Lu1983.413.1
生	錯	0.041666666666666664	Lu1983.413.1
生	霜	0.041666666666666664	Lu1983.413.1
生	藜	0.041666666666666664	Lu1983.413.1
生	渫	0.041666666666666664	Lu1983.413.1
生	襦	0.041666666666666664	Lu1983.413.1
生	樂	0.041666666666666664	Lu1983.413.1
生	泉	0.041666666666666664	Lu1983.413.1
生	芽	0.041666666666666664	Lu1983.413.1
生	瓜	0.041666666666666664	Lu1983.413.1
生	家	0.041666666666666664	Lu1983.413.1
生	少	0.041666666666666664	Lu1983.413.1
生	蒂	0.041666666666666664	Lu1983.413.1
生	歸	0.041666666666666664	Lu1983.413.1
生	譊	0.041666666666666664	Lu1983.413.1
生	母	0.041666666666666664	Lu1983.413.1
生	人	1.0	Lu1983.435.1
生	英	0.5	Lu1983.488.1
生	英	0.08333333333333333	Lu1983.528.1
生	期	0.08333333333333333	Lu1983.528.1
生	殆	0.08333333333333333	Lu1983.528.1
生	胎	0.08333333333333333	Lu1983.528.1
生	來	0.08333333333333333	Lu1983.528.1
生	零	0.08333333333333333	Lu1983.528.1
生	零	0.1111111111111111	Lu1983.535.9
生	靈	0.08333333333333333	Lu1983.528.1
生	鶯	0.08333333333333333	Lu1983.528.1
生	庭	0.08333333333333333	Lu1983.528.1
生	庭	0.1111111111111111	Lu1983.535.9
生	良	0.08333333333333333	Lu1983.528.1
生	窅	0.08333333333333333	Lu1983.528.1
生	聽	0.1111111111111111	Lu1983.535.9
生	丁	0.1111111111111111	Lu1983.535.9
生	成	1.0	Lu1983.536.1
Node=迤	2	7
迤	飢	0.3333333333333333	Lu1983.005.1
迤	飢	0.25	Lu1983.006.1
迤	歸	0.3333333333333333	Lu1983.005.1
迤	歸	0.25	Lu1983.006.1
迤	人	0.3333333333333333	Lu1983.005.1
迤	嵬	0.25	Lu1983.006.1
迤	茵	0.25	Lu1983.006.1
Node=飢	6	27
飢	迤	0.3333333333333333	Lu1983.005.1
飢	迤	0.25	Lu1983.006.1
飢	歸	0.3333333333333333	Lu1983.005.1
飢	歸	0.25	Lu1983.006.1
飢	歸	0.16666666666666666	Lu1983.535.11
飢	人	0.3333333333333333	Lu1983.005.1
飢	嵬	0.25	Lu1983.006.1
飢	茵	0.25	Lu1983.006.1
飢	移	0.25	Lu1983.228.14
飢	斯	0.25	Lu1983.228.14
飢	時	0.25	Lu1983.228.14
飢	思	0.25	Lu1983.228.14
飢	陂	0.5	Lu1983.449.1
飢	脂	0.5	Lu1983.449.1
飢	飛	0.16666666666666666	Lu1983.535.11
飢	帷	0.16666666666666666	Lu1983.535.11
飢	帷	0.1111111111111111	Lu1983.535.17
飢	輝	0.16666666666666666	Lu1983.535.11
飢	悲	0.16666666666666666	Lu1983.535.11
飢	悲	0.1111111111111111	Lu1983.535.17
飢	泥	0.1111111111111111	Lu1983.535.17
飢	衣	0.1111111111111111	Lu1983.535.17
飢	湄	0.1111111111111111	Lu1983.535.17
飢	肌	0.1111111111111111	Lu1983.535.17
飢	遲	0.1111111111111111	Lu1983.535.17
飢	衰	0.1111111111111111	Lu1983.535.17
飢	懷	0.1111111111111111	Lu1983.535.17
Node=歸	26	168
歸	迤	0.3333333333333333	Lu1983.005.1
歸	迤	0.25	Lu1983.006.1
歸	飢	0.3333333333333333	Lu1983.005.1
歸	飢	0.25	Lu1983.006.1
歸	飢	0.16666666666666666	Lu1983.535.11
歸	人	0.3333333333333333	Lu1983.005.1
歸	嵬	0.25	Lu1983.006.1
歸	茵	0.25	Lu1983.006.1
歸	忘	0.3333333333333333	Lu1983.011.1
歸	波	0.3333333333333333	Lu1983.011.1
歸	多	0.3333333333333333	Lu1983.011.1
歸	鄰	0.1111111111111111	Lu1983.130.1
歸	雲	0.1111111111111111	Lu1983.130.1
歸	房	0.1111111111111111	Lu1983.130.1
歸	光	0.1111111111111111	Lu1983.130.1
歸	光	0.07692307692307693	Lu1983.133.1
歸	興	0.1111111111111111	Lu1983.130.1
歸	承	0.1111111111111111	Lu1983.130.1
